"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12"
"b=0.415",10.4292603613747,11.8648911622741,12.9152579571426,14.4935483822851,15.7172234035835,17.022465030949,18.8481721308353,20.3527305403875,21.746641200999,23.2148033706697,24.5750570912376,25.9304190013924
"b=0.42",10.6087970538323,11.9715640198369,12.9537365303345,14.7441000538508,15.8451509427124,17.2531109244338,19.0847041977558,20.6618340072382,22.1268707193057,23.4029434305033,24.8865708344683,26.3166167444278
"b=0.425",10.7088457427309,12.0777916003112,13.155670018945,14.9453103914741,16.1181937441931,17.4233014551608,19.2954267648382,20.9244840337574,22.4928370707241,23.8139165105791,25.2523295137737,26.7740711737014
"b=0.43",10.8215565371063,12.1793041937857,13.2967426685052,15.117247964049,16.261815414719,17.6230067181983,19.550772642118,21.1327649844123,22.6924837430321,24.1871867164297,25.524571371316,27.0918903123233
"b=0.435",10.953377661246,12.3429006141143,13.4389021898463,15.2132672677463,16.5075103429184,17.8692353314856,19.7513281231015,21.3265610761435,22.8046724519449,24.5535247871934,25.8833017853263,27.4052982051432
"b=0.44",11.0347803028559,12.4563744470603,13.6183004649207,15.3126379098171,16.6848575417142,17.9372118064642,19.944431482873,21.5601098914887,22.9336527868275,24.706700323925,26.1554019084759,27.6236298216688
"b=0.445",11.0970117445758,12.5744648243839,13.742276946754,15.5205567142734,16.8707008126454,18.1880901936004,20.2218599343597,21.8134154150411,23.3255642234464,24.8143469221814,26.3539135468063,27.7530538461888
"b=0.45",11.2609322921372,12.7618796793204,13.8539370487175,15.6789255229806,17.0030573788015,18.364094460628,20.4228874572688,22.0319468951095,23.5234717684726,25.056861996544,26.6862404985167,28.0835143118468
"b=0.455",11.300181190142,12.8905006752415,14.0190629591864,15.8226149909444,17.2392078762065,18.6267265056703,20.6421782540791,22.2430036332846,23.7058172450707,25.3552902119766,26.9941520952247,28.3637023514813
"b=0.46",11.3394718754323,12.9959748918587,14.2509625737749,15.9696723732542,17.3960331909866,18.9632942109365,20.7784862042521,22.5523223900014,23.8660535847344,25.4488174408032,27.0955999011062,28.5497947980266
"b=0.465",11.4498384183227,13.1529827047636,14.4235615161602,16.180915200408,17.5500550641704,19.1870897588831,21.0967325612561,22.7594487402445,23.9941239400989,25.7932323739975,27.2260768444614,28.7368344989892
"b=0.47",11.5202397207742,13.255489985554,14.6058677721571,16.3560663152909,17.7560945035746,19.2511805159481,21.3572470651632,22.9047546154259,24.2425736615123,26.1739149892288,27.3585002898121,29.0427235678349
"b=0.475",11.5600256965609,13.3355576048267,14.8331237272006,16.5999368795069,18.0099633419193,19.3766872432528,21.4558471401621,23.1288910803379,24.4726190650249,26.5063214562921,27.6592828617964,29.2649138626804
"b=0.48",11.6778604434186,13.5038448788286,14.9155609736834,16.8391904917333,18.2961053534945,19.5554368278087,21.6827547814851,23.3700254760281,24.7079131786833,26.6438746937755,27.9364549428317,29.5159030396283
"b=0.485",11.7995776527799,13.6459627892602,15.0859546918919,16.840286236359,18.5072454520136,19.7347325099552,21.9790711104832,23.5617212148616,24.9599814616111,26.899625739471,28.2096027958248,29.8374402639387
"b=0.49",11.8899150336609,13.7823468087196,15.2313702630913,17.0868346459586,18.7647486627868,19.9935463784851,22.129340043298,23.5679364406301,25.187371967915,27.2954233378037,28.5749884319413,29.9874712922126
"b=0.495",12.0017056268608,13.9459772286401,15.3791765416471,17.0474238090656,18.8709449496764,20.0932016692068,22.3415661220785,23.7862405196917,25.4070959393391,27.6213713872662,28.8270298406588,30.3147307232512
"b=0.5",12.093761986757,14.0080372891633,15.5535166581351,17.2376639727131,19.0167993452367,20.3616947909541,22.4689056058149,24.0719975678671,25.6616330380832,27.6486721745561,28.987405052243,30.6748777565476
"b=0.505",12.1701236551575,14.1559846773668,15.731148986677,17.4485481375266,19.1337560364849,20.5291216085976,22.6704573163502,24.2689877508398,25.8518083891946,27.8975050913712,29.2810606964253,31.0944195043356
"b=0.51",12.2449779924145,14.3263291529535,16.0130968625391,17.7319344019928,19.2510905368417,20.8270098190844,22.7239990896008,24.4916386741448,26.1294812150546,27.9984315012486,29.5438028960477,31.2248612212808
"b=0.515",12.3927839829214,14.4718479453516,16.1109822483337,17.8836271376126,19.5602689843841,20.9780807438141,22.9629986298038,24.6579201059635,26.2501545189153,28.2544651857228,29.7332579161578,31.4450126158544
"b=0.52",12.4879778088148,14.5180549313687,16.2935670888259,18.0303648202078,19.6959096452454,21.2059542604178,23.1507667747142,24.821231768463,26.5496788725831,28.5631539102479,30.1302273910464,31.7641461490258
"b=0.525",12.5646175572324,14.5516457255406,16.4766411395776,18.2087933229365,19.9059797215068,21.3775344806912,23.3648519078079,25.1777295239668,26.8463402714934,28.7267336898663,30.3183609946593,32.0264532851826
"b=0.53",12.6293014098745,14.8389031524921,16.6072017313334,18.3441213843033,20.1412846739298,21.6167151757395,23.5884873589602,25.3378161659409,27.0992220889979,28.9032143732319,30.6188432011306,32.147840482139
"b=0.535",12.7556448420048,14.8906228260833,16.6740596275912,18.567830998913,20.2777982212936,21.8242337135124,23.7014952711226,25.5477886118364,27.3619989284991,29.3571151110546,30.8708832298831,32.4262656042732
"b=0.54",12.819980554706,15.0675092868169,16.8572481305145,18.7747424149922,20.4576248530992,22.093116555301,24.0809192435296,25.8346527769567,27.8335967831941,29.448291360907,31.1252748092357,32.9092300714711
"b=0.545",12.9188689083891,15.2092338724404,17.0668187805023,18.9495115547603,20.661567823557,22.2741834309543,24.2889119290314,26.155551180099,28.0722979944492,29.713593786721,31.4902263251177,33.2672748899808
"b=0.55",12.9292744173661,15.3841259417285,17.2233336349532,19.0526974272292,20.8767793196037,22.4199537078534,24.5827293378467,26.4117723764482,28.4241489082995,30.1777479428526,31.6453245921048,33.5159037986045
"b=0.555",13.0976039244424,15.5511624209058,17.320663660043,19.1951938589915,20.9281635238797,22.5872004635776,24.7904501906905,26.7021636042084,28.5186780546195,30.377315820211,32.2062757956567,33.9923189844327
